Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Beta
CDNS,Fortress,299.65,77.03,Technology,13.74,19.35,35.09,29.17,3.048,19.37,81.65,1.0
VEEV,Fortress,177.04,34.58,Healthcare,13.73,11.64,29.69,22.99,7.527,100.0,29.1,1.08
DECK,Fortress,115.36,16.41,Consumer Cyclical,13.7,44.52,31.38,20.3,2.856,354.51,16.81,1.15
GNTX,Fortress,24.42,14.03,Consumer Cyclical,13.61,18.68,18.64,21.19,2.912,100.0,5.36,0.76
SCCO,Fortress,206.52,39.79,Basic Materials,13.18,34.57,54.53,47.64,3.894,17.04,170.6,1.07
CTAS,Fortress,200.36,43.37,Industrials,13.14,28.91,23.42,21.26,1.705,23.39,80.52,0.95
RMD,Fortress,259.62,25.65,Healthcare,13.02,23.58,35.16,29.4,3.06,,37.9,0.88
KLAC,Fortress,1479.5,43.08,Technology,12.71,41.28,41.31,39.01,2.828,16.37,194.39,1.46
EXEL,Fortress,42.94,15.45,Healthcare,12.4,36.6,42.89,23.03,3.752,100.0,11.56,0.42
AVGO,Fortress,342.76,71.86,Technology,11.9,17.0,31.77,39.71,1.705,8.08,1625.12,1.22
MU,Fortress,410.34,38.97,Technology,11.61,14.2,44.97,7.06,2.46,21.24,461.84,1.5
GMAB,Fortress,30.06,13.18,Healthcare,11.19,22.92,44.91,35.78,6.034,77.37,18.52,0.8
APH,Fortress,144.04,43.13,Technology,11.12,18.6,27.49,20.72,2.979,14.88,176.31,1.21
HWM,Fortress,230.85,64.66,Industrials,11.12,17.45,25.66,18.61,2.353,8.6,92.92,1.25
Q,Fortress,114.51,43.87,Technology,11.11,7.85,21.71,19.13,1.781,3.21,23.99,
CGNX,Fortress,43.03,66.2,Technology,10.37,6.31,20.86,21.08,3.964,100.0,7.21,1.53
TXN,Fortress,226.56,41.49,Technology,10.33,19.9,33.35,40.66,4.353,11.52,205.86,0.99
VRT,Fortress,248.51,93.78,Industrials,9.95,15.17,20.49,10.02,1.831,6.09,95.01,2.09
ZM,Fortress,92.15,17.93,Technology,9.95,8.95,25.24,15.14,4.448,100.0,27.58,0.9
INFY,Fortress,15.76,20.47,Technology,9.71,36.24,18.38,21.48,1.812,91.76,63.76,0.26
LOGI,Fortress,93.32,19.56,Technology,9.7,27.26,20.24,13.38,2.214,100.0,13.76,0.68
CALM,Fortress,83.18,3.51,Consumer Defensive,9.49,57.77,16.18,21.94,8.017,2620.51,3.96,0.25
EXPD,Fortress,161.89,26.37,Industrials,9.29,38.74,9.95,10.54,1.794,,21.97,1.13
PGNY,Fortress,21.55,34.76,Healthcare,9.25,15.38,6.87,5.23,2.955,100.0,1.86,0.97
AOS,Fortress,80.22,20.84,Industrials,9.16,31.95,17.95,18.75,1.497,53.97,11.24,1.34
NBIX,Fortress,137.44,32.8,Healthcare,8.86,19.08,30.1,20.18,3.383,4.84,13.7,0.31
META,Fortress,668.69,28.48,Communication Services,8.84,26.87,41.31,35.77,2.599,74.76,1691.49,1.28
BWXT,Fortress,198.5,59.43,Industrials,8.78,16.2,10.91,13.47,1.708,9.83,18.15,0.83
INCY,Fortress,98.84,15.42,Healthcare,8.68,30.63,25.48,15.92,3.295,686.52,19.4,
PLAB,Fortress,38.1,16.71,Technology,8.47,13.54,24.15,26.03,5.366,4033.44,2.25,1.51
MSFT,Fortress,404.37,25.29,Technology,8.31,26.37,47.09,43.52,1.386,52.84,3005.43,1.08
